k,feature_set,repeat_idx,child_seed,rmse_logJ,mae_logJ,bias_logJ,spearman_rho,pearson_r,within_2x_ratio,top3_hit,test_n
5,composition_plus_solubility,49,3312495928,0.1071389528,0.08396644878,0.0356767721,0.75,0.8444355148,1,0.6666666667,7
5,composition_plus_solubility,50,3078168926,0.1285112776,0.1004270398,-0.06434315368,0.1785714286,0.3678377365,1,0.3333333333,7
5,composition_plus_solubility,51,1005097259,0.1030205735,0.0768938645,0.02122072131,0.6071428571,0.7736687463,1,0.6666666667,7
5,composition_plus_solubility,52,1646080115,0.1138409992,0.07825410937,-0.05342637058,0.8928571429,0.7890426024,1,1,7
5,composition_plus_solubility,53,2175304393,0.1036537752,0.06640275202,0.05775286508,0.6071428571,0.779584797,1,0.6666666667,7
5,composition_plus_solubility,54,3907648593,0.1395305844,0.1109641113,-0.0954103274,0.8928571429,0.7200665099,1,0.6666666667,7
5,composition_plus_solubility,55,1971688097,0.1145517497,0.09568678429,-0.005165257089,0.5357142857,0.7961228921,1,0.6666666667,7
5,composition_plus_solubility,56,268300483,0.09340293259,0.07080477633,0.009719432079,0.9285714286,0.886052071,1,0.6666666667,7
5,composition_plus_solubility,57,3139098279,0.1048680128,0.0865695421,0.01310204619,0.7142857143,0.83424207,1,0.6666666667,7
5,composition_plus_solubility,58,3174456534,0.07232371542,0.06262717788,0.006529941909,0.8214285714,0.9278658915,1,0.6666666667,7
5,composition_plus_solubility,59,997026310,0.1125162667,0.08558238019,-0.02653555039,0.5357142857,0.5416218917,1,0.6666666667,7
5,composition_plus_solubility,60,4280428995,0.1727080721,0.1196705349,0.108006068,0.25,0.2694509221,0.8571428571,0.3333333333,7
5,composition_plus_solubility,61,345698675,0.06639733321,0.05062905294,0.01537875215,0.9642857143,0.9466980832,1,0.6666666667,7
5,composition_plus_solubility,62,2296661869,0.06420159428,0.04861006496,0.0137580086,0.8928571429,0.9494042842,1,1,7
5,composition_plus_solubility,63,1808063307,0.09461095759,0.06410902727,-0.007410631455,0.9285714286,0.8794997078,1,0.6666666667,7
5,composition_plus_solubility,64,3884888703,0.1249055818,0.0923507002,-0.07391129132,0.8928571429,0.8616336972,1,0.6666666667,7
5,composition_plus_solubility,65,2494461129,0.06960838483,0.05953509794,-0.002863890595,0.7857142857,0.9277385885,1,0.6666666667,7
5,composition_plus_solubility,66,3862701690,0.1176705419,0.09371229182,-0.05272551463,0.6428571429,0.7380232598,1,0.6666666667,7
5,composition_plus_solubility,67,1989052338,0.1295258508,0.0938116701,-0.07310314843,0.7142857143,0.706235003,1,0.3333333333,7
5,composition_plus_solubility,68,2910179760,0.09857132912,0.07181607734,-0.02218877819,0.9642857143,0.8685087428,1,0.6666666667,7
5,composition_plus_solubility,69,1983180500,0.11893839,0.08657067881,0.08161473152,0.4285714286,0.8802218249,1,0.6666666667,7
5,composition_plus_solubility,70,2796940620,0.1002995556,0.07188074672,0.01168753993,0.7857142857,0.8782280407,1,0.6666666667,7
5,composition_plus_solubility,71,2835193311,0.06602242638,0.05241522687,0.0009097093069,0.9642857143,0.9427866964,1,1,7
5,composition_plus_solubility,72,1671370085,0.1372833238,0.1060632879,0.05882214529,0.4285714286,0.5417056651,1,0.6666666667,7
5,composition_plus_solubility,73,3953588250,0.09593199431,0.06501675239,-0.03458725028,0.8214285714,0.800447381,1,0.6666666667,7
5,composition_plus_solubility,74,358542842,0.1205495674,0.0922185973,-0.05361745668,0.7857142857,0.8334619864,1,0.6666666667,7
5,composition_plus_solubility,75,3497188667,0.1184697249,0.08616346937,0.0757913926,0.6071428571,0.8827128785,1,0.6666666667,7
5,composition_plus_solubility,76,253549709,0.1009960991,0.07438409394,0.04207066271,0.1785714286,0.1927885031,1,0.6666666667,7
5,composition_plus_solubility,77,1953331372,0.2155588329,0.1764103057,0.1764103057,0.6785714286,0.7513502743,0.8571428571,0.6666666667,7
5,composition_plus_solubility,78,890775398,0.07783211326,0.06934064396,0.06524469916,0.9285714286,0.9708617525,1,0.6666666667,7
5,composition_plus_solubility,79,642810498,0.1230262731,0.09343045195,-0.05775274114,0.9642857143,0.8211186921,1,1,7
