formulation_id,replicate,poloxamer_407_pct,ethanol_pct,propylene_glycol_pct,design_group,design_method,design_stage_order,source,t1,t2,t3,t4,t6,t8,t22,t24,t26,t28
Cf16,1,21.0,16.6,17.3,LHS,Latin hypercube sampling,2,Paper 1 (this study),3.474626865671642,9.61850746268657,17.24298507462687,25.935522388059706,44.9734328358209,64.08417910447763,215.1910447761194,235.5737313432836,257.74059701492536,277.7916417910448
Cf16,2,21.0,16.6,17.3,LHS,Latin hypercube sampling,2,Paper 1 (this study),3.0567164179104482,8.499104477611942,10.72537313432836,24.761492537313437,45.36656716417911,63.61134328358209,193.56208955223883,214.45343283582088,245.69104477611944,262.8379104477612
Cf16,3,21.0,16.6,17.3,LHS,Latin hypercube sampling,2,Paper 1 (this study),4.1850746268656716,12.770447761194031,22.813432835820898,33.279402985074626,57.36597014925374,82.26208955223882,265.3907462686567,286.85880597014926,302.85731343283584,327.16865671641796
Cf16,4,21.0,16.6,17.3,LHS,Latin hypercube sampling,2,Paper 1 (this study),4.9970149253731355,12.53641791044776,19.700000000000003,29.800000000000004,51.295223880597014,72.05194029850747,233.00985074626868,254.86447761194032,275.3650746268657,295.79044776119406
Cf16,5,21.0,16.6,17.3,LHS,Latin hypercube sampling,2,Paper 1 (this study),9.546268656716418,15.295223880597018,21.43910447761194,29.285970149253735,45.93432835820896,68.6071641791045,229.80626865671647,251.5408955223881,272.8725373134329,292.7274626865672
Cf17,1,21.3,20.0,10.6,LHS,Latin hypercube sampling,2,Paper 1 (this study),4.423880597014926,14.030149253731345,25.2579104477612,36.61253731343284,62.90388059701493,90.41164179104479,282.3650746268657,307.9340298507463,336.9149253731344,369.1080597014926
Cf17,2,21.3,20.0,10.6,LHS,Latin hypercube sampling,2,Paper 1 (this study),2.340298507462687,7.114029850746269,15.165373134328362,22.133134328358206,40.46328358208955,63.162089552238804,220.87641791044777,243.42746268656717,266.9119402985075,289.6214925373135
Cf17,3,21.3,20.0,10.6,LHS,Latin hypercube sampling,2,Paper 1 (this study),4.208955223880597,13.816417910447761,23.816119402985077,35.7444776119403,60.97014925373136,86.90716417910448,279.0188059701493,304.22477611940303,331.51253731343286,356.66417910447757
Cf17,4,21.3,20.0,10.6,LHS,Latin hypercube sampling,2,Paper 1 (this study),4.549253731343284,13.039402985074627,22.25910447761194,32.97044776119404,56.49820895522389,81.69194029850746,249.46955223880602,274.2710447761194,295.504776119403,318.0349253731344
Cf17,5,21.3,20.0,10.6,LHS,Latin hypercube sampling,2,Paper 1 (this study),5.988059701492537,13.606865671641794,22.88716417910448,33.26089552238806,55.25074626865673,80.46507462686569,258.10059701492537,286.43223880597014,311.18388059701493,339.2770149253731
Cf18,1,22.7,14.4,16.0,LHS,Latin hypercube sampling,2,Paper 1 (this study),4.304477611940299,12.53761194029851,25.894029850746275,33.33223880597015,56.512537313432844,79.9737313432836,254.1116417910448,277.9185074626866,302.39492537313436,328.0767164179105
Cf18,2,22.7,14.4,16.0,LHS,Latin hypercube sampling,2,Paper 1 (this study),0.8059701492537314,6.147761194029851,15.133731343283582,21.891044776119404,37.725373134328365,53.82179104477613,175.12955223880599,192.3361194029851,210.17820895522388,229.60895522388063
Cf18,3,22.7,14.4,16.0,LHS,Latin hypercube sampling,2,Paper 1 (this study),2.7820895522388067,8.503283582089553,19.028955223880597,29.092835820895523,49.72716417910448,71.33014925373135,233.94388059701495,255.77074626865675,280.22686567164186,305.1605970149254
Cf18,4,22.7,14.4,16.0,LHS,Latin hypercube sampling,2,Paper 1 (this study),5.7253731343283585,13.444477611940298,21.517313432835824,30.110149253731347,51.1289552238806,75.41492537313434,255.48835820895522,284.80925373134335,313.0820895522388,336.7492537313433
Cf18,5,22.7,14.4,16.0,LHS,Latin hypercube sampling,2,Paper 1 (this study),5.229850746268657,13.34805970149254,22.64716417910448,33.44716417910448,55.93283582089553,81.49402985074627,261.76656716417915,291.87343283582095,317.4113432835821,347.1468656716419
Cf19,1,23.5,17.9,18.1,LHS,Latin hypercube sampling,2,Paper 1 (this study),3.2119402985074634,9.03223880597015,15.6489552238806,23.457910447761197,40.29432835820896,57.200895522388066,185.99253731343285,203.3961194029851,221.35970149253737,239.46626865671644
Cf19,2,23.5,17.9,18.1,LHS,Latin hypercube sampling,2,Paper 1 (this study),3.9582089552238813,10.854626865671642,18.826268656716422,32.101194029850745,47.564776119402985,66.89552238805972,207.80417910447764,226.52985074626864,247.05462686567165,267.0167164179105
