scenario,n_train,augment,alpha_factor,split_id,split_strategy,sigma_own,n_train_rows,n_test_rows,n_train_groups,n_test_groups,n_lit_rows,rmse,r2,y_test_mean
augmented_10,10,True,5.0,2,holdout,34.89374447808242,10,10,10,10,8,49.762587288313846,-1.1807629194562899,217.35657014925377
augmented_10,10,True,10.0,2,holdout,34.89374447808242,10,10,10,10,8,49.758266330636715,-1.1803842182799014,217.35657014925377
augmented_10,10,True,20.0,2,holdout,34.89374447808242,10,10,10,10,8,49.757142706754195,-1.1802857460339955,217.35657014925377
augmented_10,10,True,50.0,2,holdout,34.89374447808242,10,10,10,10,8,49.75669799656714,-1.1802467730988035,217.35657014925377
augmented_10,10,True,3.0,3,holdout,38.202314040919404,10,10,10,10,8,37.820499105160465,-0.3360074464956275,228.70752238805966
augmented_10,10,True,5.0,3,holdout,38.202314040919404,10,10,10,10,8,37.81299570987408,-0.33547738487298107,228.70752238805966
augmented_10,10,True,10.0,3,holdout,38.202314040919404,10,10,10,10,8,37.809569479003216,-0.33523538095566185,228.70752238805966
augmented_10,10,True,20.0,3,holdout,38.202314040919404,10,10,10,10,8,37.80901212256924,-0.335196015442883,228.70752238805966
augmented_10,10,True,50.0,3,holdout,38.202314040919404,10,10,10,10,8,37.80881012631102,-0.33518174879778906,228.70752238805966
augmented_10,10,True,3.0,4,holdout,40.08032748032458,10,10,10,10,8,55.37302751644176,-4.3596516728599495,208.84102686567167
augmented_10,10,True,5.0,4,holdout,40.08032748032458,10,10,10,10,8,55.36503656156098,-4.358104867627164,208.84102686567167
augmented_10,10,True,10.0,4,holdout,40.08032748032458,10,10,10,10,8,55.36174255933077,-4.357467314202167,208.84102686567167
augmented_10,10,True,20.0,4,holdout,40.08032748032458,10,10,10,10,8,55.360993426240974,-4.357322324947756,208.84102686567167
augmented_10,10,True,50.0,4,holdout,40.08032748032458,10,10,10,10,8,55.36073263683901,-4.357271851518431,208.84102686567167
